,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI
108,Asia,Oman,30.7,2.355,1.53,96.115,3.885000000000005,207109.0,2219.0,1.0714165004900802,1.6,37960.709,0.813
109,Asia,Pakistan,23.5,4.495,2.78,92.725,7.275000000000006,886184.0,19856.0,2.2406182011862095,0.6,5034.708,0.557
110,North America,Panama,29.7,7.918,5.03,87.05199999999999,12.948000000000008,371684.0,6300.0,1.694988215796214,2.3,22267.037,0.815
111,South America,Paraguay,26.5,6.378,3.833,89.789,10.210999999999999,318251.0,7802.0,2.451524111471763,1.3,8827.01,0.728
112,South America,Peru,29.1,7.151,4.455,88.394,11.605999999999995,1893334.0,66471.0,3.510791017327106,1.6,12236.706,0.777
113,Asia,Philippines,25.2,4.803,2.661,92.536,7.463999999999999,1154388.0,19372.0,1.6781186221616995,1.0,7599.188,0.718
114,Europe,Poland,41.8,16.763,10.202,73.035,26.965000000000003,2856924.0,71920.0,2.5173928322909536,6.62,27216.445,0.88
115,Europe,Portugal,46.2,21.502,14.924,63.574000000000005,36.425999999999995,842767.0,17011.0,2.0184701109559344,3.39,27936.896,0.864
116,Asia,Qatar,31.9,1.307,0.617,98.076,1.9240000000000066,213855.0,536.0,0.25063711393233734,1.2,116935.6,0.848
117,Europe,Romania,43.0,17.85,11.69,70.46000000000001,29.539999999999992,1072972.0,29662.0,2.7644710206790113,6.892,23313.199,0.828
118,Europe,Russia,39.6,14.178,9.393,76.429,23.570999999999998,4900995.0,114619.0,2.3386883683823387,8.05,24765.954,0.824
119,North America,Saint Lucia,34.9,9.721,6.405,83.874,16.126000000000005,4871.0,77.0,1.5807842332169986,1.3,12951.839,0.759
120,North America,Saint Vincent and the Grenadines,31.8,7.724,4.832,87.444,12.555999999999997,1940.0,12.0,0.6185567010309279,2.6,10727.146,0.738
121,Africa,Sao Tome and Principe,18.7,2.886,2.162,94.952,5.048000000000002,2332.0,35.0,1.5008576329331047,2.9,3052.714,0.625
122,Asia,Saudi Arabia,31.9,3.295,1.845,94.86,5.140000000000001,435027.0,7188.0,1.6523112358543264,2.7,49045.411,0.854
123,Africa,Seychelles,36.2,8.606,5.586,85.808,14.191999999999993,9764.0,35.0,0.35845964768537486,3.6,26382.287,0.796
124,Asia,Singapore,42.4,12.922,7.049,80.029,19.971000000000004,61651.0,31.0,0.050283044881672644,2.4,85535.383,0.938
125,Europe,Slovakia,41.2,15.07,9.167,75.763,24.236999999999995,387892.0,12248.0,3.1575799449331257,5.82,30155.152,0.86
126,Europe,Slovenia,44.5,19.062,12.93,68.00800000000001,31.99199999999999,249921.0,4333.0,1.7337478643251267,4.5,31400.84,0.917
127,Africa,South Africa,27.3,5.344,3.053,91.60300000000001,8.396999999999991,1617840.0,55340.0,3.420610196311131,2.32,12294.876,0.709
128,Asia,South Korea,43.4,13.914,8.622,77.464,22.536,133471.0,1912.0,1.4325209221478823,12.27,35938.374,0.916
129,Europe,Spain,45.5,19.436,13.799,66.76499999999999,33.235000000000014,3619848.0,79502.0,2.1962800647983007,2.97,34272.36,0.904
130,Asia,Sri Lanka,34.1,10.069,5.331,84.6,15.400000000000006,147720.0,1015.0,0.6871107500676956,3.6,11669.077,0.782
131,Africa,Sudan,19.7,3.548,2.034,94.41799999999999,5.582000000000008,34889.0,2446.0,7.010805698071025,0.8,4466.507,0.51
132,South America,Suriname,29.6,6.933,4.229,88.83800000000001,11.161999999999992,12251.0,238.0,1.942698555219982,3.1,13767.119,0.738
133,Europe,Sweden,41.0,19.985,13.433,66.582,33.418000000000006,1047143.0,14301.0,1.3657160483334176,2.22,46949.283,0.945
134,Europe,Switzerland,43.1,18.436,12.644,68.91999999999999,31.080000000000013,683400.0,10752.0,1.5733099209833186,4.53,57410.166,0.955
135,Asia,Tajikistan,23.3,3.466,2.155,94.379,5.620999999999995,13308.0,90.0,0.6762849413886384,4.8,2896.913,0.668
136,Africa,Tanzania,17.7,3.108,1.874,95.018,4.981999999999999,509.0,21.0,4.12573673870334,0.7,2683.304,0.529
137,Asia,Thailand,40.1,11.373,6.89,81.737,18.263000000000005,113555.0,649.0,0.5715292149178812,2.1,16277.671,0.777
138,Asia,Timor,18.0,3.556,1.897,94.547,5.453000000000003,4765.0,10.0,0.2098635886673662,5.9,6570.102,0.606
139,Africa,Togo,19.4,2.839,1.525,95.636,4.364000000000004,13286.0,125.0,0.9408399819358723,0.7,1429.813,0.515
140,North America,Trinidad and Tobago,36.2,10.014,5.819,84.167,15.832999999999998,17150.0,317.0,1.8483965014577262,3.0,28763.071,0.796
141,Africa,Tunisia,32.7,8.001,5.075,86.92399999999999,13.076000000000008,328528.0,11971.0,3.6438294452832025,2.3,10849.297,0.74
142,Asia,Turkey,31.6,8.153,5.061,86.786,13.213999999999999,5139485.0,45186.0,0.8791931487298824,2.81,25129.341,0.82
143,Africa,Uganda,16.4,2.168,1.308,96.52399999999999,3.4760000000000133,42930.0,349.0,0.8129513160959702,0.5,1697.707,0.544
144,Europe,Ukraine,41.4,16.462,11.133,72.405,27.595,2216856.0,50425.0,2.2746177469352995,8.8,7894.393,0.779
145,Asia,United Arab Emirates,34.0,1.144,0.526,98.33,1.6700000000000017,548681.0,1637.0,0.29835186565600047,1.2,67293.483,0.89
146,Europe,United Kingdom,40.8,18.517,12.527,68.956,31.043999999999997,4468582.0,127953.0,2.8633915635877334,2.54,39753.244,0.932
147,North America,United States,38.3,15.413,9.732,74.855,25.144999999999996,32997331.0,587219.0,1.7795954466741568,2.77,54225.446,0.926
148,South America,Uruguay,35.6,14.655,10.361,74.984,25.016000000000005,246026.0,3578.0,1.454317836326242,2.8,20551.409,0.817
149,Asia,Uzbekistan,28.2,4.469,2.873,92.658,7.341999999999999,97068.0,672.0,0.6922981827172704,4.0,6253.104,0.72
150,South America,Venezuela,29.0,6.614,3.915,89.47099999999999,10.52900000000001,217603.0,2428.0,1.1157934403477894,0.8,16745.022,0.711
151,Asia,Vietnam,32.6,7.15,4.718,88.13199999999999,11.86800000000001,4512.0,37.0,0.8200354609929078,2.6,6171.884,0.704
152,Asia,Yemen,20.3,2.922,1.583,95.495,4.5049999999999955,6586.0,1297.0,19.69328879441239,0.7,1479.147,0.47
153,Africa,Zambia,17.7,2.48,1.542,95.978,4.022000000000006,92520.0,1263.0,1.3651102464332037,2.0,3689.251,0.584
154,Africa,Zimbabwe,19.6,2.822,1.882,95.29599999999999,4.704000000000008,38595.0,1583.0,4.10156756056484,1.7,1899.775,0.571
