Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019]
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Rwanda;RWA;9635951160;10354417725
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Samoa;WSM;821496064,5;852250191
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;San Marino;SMR;1655300873;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Santo Tomé y Príncipe;STP;412261829,6;418637389
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Arabia Saudita;SAU;7,86522E+11;7,92967E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Senegal;SEN;23236007428;23578084052
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Serbia;SRB;50640650221;51475016532
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Seychelles;SYC;1586009000;1703387387
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sierra Leona;SLE;4085114794;4121733705
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Singapur;SGP;3,73217E+11;3,72063E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sint Maarten (Dutch part);SXM;1185474860;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Eslovaca;SVK;1,05702E+11;1,0508E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Eslovenia;SVN;54161636035;54174227309
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Salomón;SLB;1593964162;1589913622
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Somalia;SOM;4720727278;4942319041
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sudáfrica;ZAF;3,68289E+11;3,51432E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sudán del Sur;SSD;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;España;ESP;1,42215E+12;1,39349E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sri Lanka;LKA;88425889592;84008783756
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Saint Kitts y Nevis;KNA;1010822222;1053244444
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Santa Lucía;LCA;2065875074;2122450630
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Isla de San Martín (parte francesa);MAF;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;San Vicente y las Granadinas;VCT;811300000;824718518,5
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sudán;SDN;33128480499;30513456085
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Suriname;SUR;3464656616;3697371950
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Suecia;SWE;5,55455E+11;5,30884E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Suiza;CHE;7,05141E+11;7,03082E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;República Árabe Siria;SYR;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Tayikistán;TJK;7522947810;8116626794
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Tanzanía;TZA;58001200572;63177068175
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Tailandia;THA;5,06514E+11;5,43549E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Timor-Leste;TLS;1559894900;2017924900
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Togo;TGO;5364369026;5490272413
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Tonga;TON;489235527,4;512350059,4
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Trinidad y Tobago;TTO;23808146748;24269714810
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Túnez;TUN;39770297329;38796687568
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Turquía;TUR;7,78382E+11;7,61425E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Turkmenistán;TKM;40761142857;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Turcas y Caicos;TCA;1113178000;1197415000
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Tuvalu;TUV;42588164,97;47271463,33
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Uganda;UGA;32916147253;35165157017
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Ucrania;UKR;1,30902E+11;1,53781E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Emiratos Árabes Unidos;ARE;4,22215E+11;4,21142E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Reino Unido;GBR;2,86067E+12;2,82911E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Estados Unidos;USA;2,05802E+13;2,14332E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Uruguay;URY;59596885024;56045912953
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Uzbekistán;UZB;50392607758;57921286440
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Vanuatu;VUT;914700508,2;934239973,8
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Venezuela;VEN;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Viet Nam;VNM;2,45214E+11;2,61921E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Islas Vírgenes (EE.UU.);VIR;..;..
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Ribera Occidental y Gaza;PSE;16276600000;..
